Address,Status,Indexability,Title 1
https://www.edc.ca/en/about-us/news/cleantech-export-week-2019.html,OK,Indexable,Cleantech Export Week: An event for Canada’s cleantech innovators and their vast ecosystem of supports | EDC
https://www.edc.ca/en/about-us/news/cleantech-export-week.html,OK,Indexable,Cleantech Export Week | EDC
https://www.edc.ca/en/about-us/news/cleantech-week-news-release.html,OK,Indexable,Canada’s call to action for Canadian clean technology: a $1 trillion opportunity | EDC
https://www.edc.ca/en/about-us/news/clear-blue-technologies.html,OK,Indexable,Clear Blue provided with financing | EDC
https://www.edc.ca/en/about-us/news/climate-change-policy-2019.html,OK,Indexable,EDC releases new Climate Change Policy | EDC
https://www.edc.ca/en/about-us/news/climate-financial-disclosure.html,OK,Indexable,EDC among the first to commit to increased climate-related financial disclosure | EDC
https://www.edc.ca/en/about-us/news/colton-international.html,OK,Indexable,Vancouver’s Colton International uses EDC CAD 1.9 M loan guarantee to grow sales in the U.S. and Asia | EDC
https://www.edc.ca/en/about-us/news/covid-19-oil-gas-support.html,OK,Indexable,EDC increasing financial capacity to support Canadian oil and gas companies | EDC
https://www.edc.ca/en/about-us/news/csr-advisory-council.html,OK,Indexable,New Members Appointed to Advisory Council on CSR | EDC
https://www.edc.ca/en/about-us/news/deloitte-mentoring.html,OK,Indexable,EDC to provide export mentoring services to winners of Deloitte Canada’s Best Managed Companies award | EDC
https://www.edc.ca/en/about-us/news/eca-alliances-2018.html,OK,Indexable,EDC forges alliances with ECAs in India and Hungary to increase opportunities for Canadian companies - Export Development Canada | EDC
https://www.edc.ca/en/about-us/news/ecas-supporting-global-trade-form-net-zero-alliance---edc1.html,OK,Indexable,ECAs supporting global trade form net-zero alliance | EDC
https://www.edc.ca/en/about-us/news/ecolomondo-2019.html,OK,Indexable,EDC helps Canadian company reduce landfill waste | EDC
https://www.edc.ca/en/about-us/news/ecotagious-2019.html,OK,Indexable,Cleantech company Ecotagious secures working capital | EDC
https://www.edc.ca/en/about-us/news/edc-12-billion-cleantech.html,OK,Indexable,EDC provides $12 billion in cleantech support in 2023 | EDC
https://www.edc.ca/en/about-us/news/edc-20-years-india.html,OK,Indexable,EDC marks 20 years in India | EDC
https://www.edc.ca/en/about-us/news/edc-2020-year-end-release.html,OK,Indexable,"In a year dominated by the pandemic, EDC steps up to support record number of Canadian businesses | EDC"
https://www.edc.ca/en/about-us/news/edc-2022-year-end-announcement.html,OK,Indexable,EDC supports record number of Canadian companies | EDC
